classtype	trackID	trackIDroberin	site	whaleID	age	year	month	day	hr	minute	sec	jDay	wCalf	ActivityState	Xroberin	Yroberin	utmE	utmN	vE	vN	v	a	tortuosity
whaleObs	0	7300501	North	J1	52	2003	7	30	5	9	24	52850.214861	No	Forage	870	1715	490141	5371095	0.000	0.000	0.000	0.000	0.000
whaleObs	0	7300501	North	J1	52	2003	7	30	5	10	19	52850.215509	No	Forage	856	1552	490036	5371220	-1.875	2.232	2.915	0.052	2.593
whaleObs	0	7300501	North	J1	52	2003	7	30	5	10	45	52850.215810	No	Forage	843	1477	489992	5371282	-1.692	2.385	2.924	0.009	0.191
whaleObs	0	7300501	North	J1	52	2003	7	30	5	11	4	52850.216019	No	Forage	837	1439	489969	5371314	-1.278	1.778	2.189	0.041	11.004
whaleObs	0	7300501	North	J1	52	2003	7	30	5	16	10	52850.219560	No	Forage	910	1046	489640	5371540	-1.075	0.739	1.304	0.003	25.116
whaleObs	0	7300501	North	J1	52	2003	7	30	5	16	22	52850.219711	No	Forage	904	1037	489638	5371551	-0.154	0.846	0.860	0.071	12.056
whaleObs	0	7300501	North	J1	52	2003	7	30	5	16	32	52850.219815	No	Forage	901	1028	489633	5371559	-0.556	0.889	1.048	0.045	25.936
whaleObs	0	7300501	North	J1	52	2003	7	30	5	16	41	52850.219931	No	Forage	907	1020	489623	5371561	-1.000	0.200	1.020	0.082	28.398
whaleObs	0	7300501	North	J1	52	2003	7	30	5	16	54	52850.220081	No	Forage	923	1018	489611	5371551	-0.923	-0.769	1.202	0.075	14.692
whaleObs	0	7300501	North	J1	52	2003	7	30	5	17	8	52850.220243	No	Forage	948	1028	489600	5371526	-0.786	-1.786	1.951	0.073	6.549
whaleObs	0	7300501	North	J1	52	2003	7	30	5	17	21	52850.220382	No	Forage	965	1031	489590	5371512	-0.833	-1.167	1.434	0.052	0.126
whaleObs	0	7300501	North	J1	52	2003	7	30	5	17	34	52850.220544	No	Forage	994	1036	489573	5371488	-1.214	-1.714	2.101	0.048	35.242
whaleObs	0	7300501	North	J1	52	2003	7	30	5	17	45	52850.220671	No	Forage	1002	1025	489560	5371490	-1.182	0.182	1.196	0.172	18.623
whaleObs	0	7300501	North	J1	52	2003	7	30	5	18	6	52850.220903	No	Forage	1029	1015	489534	5371478	-1.300	-0.600	1.432	0.040	11.236
whaleObs	0	7300501	North	J1	52	2003	7	30	5	18	20	52850.221076	No	Forage	1062	1015	489510	5371454	-1.600	-1.600	2.263	0.070	28.802
whaleObs	0	7300501	North	J1	52	2003	7	30	5	18	36	52850.221262	No	Forage	1078	995	489485	5371457	-1.563	0.188	1.574	0.112	27.482
whaleObs	0	7300501	North	J1	52	2003	7	30	5	18	49	52850.221412	No	Forage	1074	974	489473	5371475	-0.923	1.385	1.664	0.104	9.806
whaleObs	0	7300501	North	J1	52	2003	7	30	5	19	14	52850.221701	No	Forage	1079	930	489438	5371503	-1.400	1.120	1.793	0.022	9.806
whaleObs	0	7300501	North	J1	52	2003	7	30	5	19	35	52850.221944	No	Forage	1072	894	489418	5371533	-0.952	1.429	1.717	0.026	2.728
whaleObs	0	7300501	North	J1	52	2003	7	30	5	20	7	52850.222303	No	Forage	1049	817	489379	5371604	-1.258	2.290	2.613	0.029	1.301
whaleObs	0	7300501	North	J1	52	2003	7	30	5	20	32	52850.222604	No	Forage	1034	757	489347	5371657	-1.231	2.038	2.381	0.010	8.694
whaleObs	0	7300501	North	J1	52	2003	7	30	5	20	56	52850.222882	No	Forage	1036	688	489297	5371704	-2.083	1.958	2.859	0.036	3.823
whaleObs	0	7300501	North	J1	52	2003	7	30	5	21	31	52850.223287	No	Forage	1028	601	489241	5371771	-1.600	1.914	2.495	0.014	2.390
whaleObs	0	7300501	North	J1	52	2003	7	30	5	22	9	52850.223727	No	Forage	1007	469	489163	5371880	-2.053	2.868	3.527	0.028	0.139
whaleObs	0	7300501	North	J1	52	2003	7	30	5	22	41	52850.224097	No	Forage	989	359	489098	5371970	-2.031	2.813	3.469	0.002	0.018
whaleObs	0	7300501	North	J1	52	2003	7	30	5	23	8	52850.224398	No	Forage	976	280	489051	5372035	-1.808	2.500	3.085	0.015	2.426
whaleObs	0	7300501	North	J1	52	2003	7	30	5	23	34	52850.224699	No	Forage	969	196	488996	5372100	-2.115	2.500	3.275	0.012	2.963
whaleObs	0	7300501	North	J1	52	2003	7	30	5	23	53	52850.224931	No	Forage	960	144	488966	5372143	-1.500	2.150	2.622	0.035	1.746
whaleObs	0	7300501	North	J1	52	2003	7	30	5	25	27	52850.226007	No	Forage	921	-24	488875	5372290	-0.978	1.581	1.859	0.008	16.319
whaleObs	0	7300501	North	J1	52	2003	7	30	5	25	41	52850.226169	No	Forage	904	-42	488874	5372314	-0.071	1.714	1.716	0.065	9.528
